"name",12/13,13/14,14/15,15/16,16/17,17/18
"Thievy Bifouma",14,5,4,4,3,5
"Arouna Koné",13,0,2,7,2,11
"Muhammet Demir",2,2,10,11,2,4
"Elvis Manu",13,10,14,0,6,5
"Ahmet Ilhan Özek",8,1,5,4,2,3
"Jaílton Paraíba",2,4,8,12,3,4
"Petar Skuletic",4,16,24,7,2,8
"Deniz Yilmaz",5,13,2,7,5,3
"Aminu Umar",NaN,7,5,8,9,6
"Serdar Gürler",8,4,3,1,17,8
"Sokol Cikalleshi",3,22,13,13,10,7
"Raul Rusescu",26,11,13,10,7,
"Mehmet Batdal",12,13,8,11,6,1
"Ali ĂzgĂźn",NaN,NaN,9,11,23,
"Maicón",3,5,0,5,6,4
"Milan Jevtovic",1,3,1,14,13,0
"Souleymane Doukara",0,6,7,5,6,7
"Moestafa El Kabir",15,7,8,9,3,2
"Deniz Kadah",18,14,14,14,10,7
"Emre Güral",0,7,2,10,0,7
"Daniel Larsson",0,3,2,5,1,2
"Onur Ayik",4,3,4,3,0,1
"Geoffrey Bia",0,14,14,8,10,1
"Paulo Henrique",5,29,7,NaN,0,6
"Evgen Seleznev",12,16,13,16,8,8
"Marvin Emnes",6,2,2,4,6,0
"Mugdat Celik",26,15,2,5,3,4
"Adem Büyük",3,9,7,3,13,2
"Berk Yildiz",NaN,0,1,2,2,0
"Issiar Dia",5,0,2,0,8,0
"Emanuel Dening",NaN,NaN,NaN,6,5,4
"Khalid Boutaïb",0,NaN,6,10,20,11
"Gilberto",14,7,5,2,2,0
"Eren Tozlu",2,1,4,0,10,4
"Jhon Murillo",NaN,1,2,3,5,4
"Samuel Eduok",NaN,NaN,8,0,6,7
